"영역","태그","설명","구분"
"학습 참여","수업 참여도 높음","질문·토론·활동에 적극적으로 참여함","긍정"
"학습 참여","발표 적극적","자발적으로 발표하고 의견을 표현함","긍정"
"학습 참여","집중 우수","수업 중 집중을 잘 유지함","긍정"
"학습 참여","질문·탐구 활발","궁금한 점을 스스로 질문하고 탐구하려 함","긍정"
"학습 참여","자기주도 학습","과제·복습 등을 자발적으로 수행함","긍정"
"학습 참여","창의적 아이디어 제안","수업 중 독창적인 의견이나 해결 방법을 제시함","긍정"
"학습 참여","산만함","수업 중 주의가 자주 분산되고 딴짓이 나타남","부정"
"학습 참여","수업 중 졸음","수업 시간에 반복적으로 조는 모습이 관찰됨","부정"
"학습 참여","수업 참여 회피","발표·활동·응답을 지속적으로 피함","부정"
"학습 참여","핸드폰·기기 무단 사용","수업 중 허가 없이 스마트기기 등을 사용함","부정"

"학습 습관","정리정돈 잘함","책상·사물함·학습 자료를 잘 정리함","긍정"
"학습 습관","노트 정리 우수","수업 내용을 체계적으로 기록하고 정리함","긍정"
"학습 습관","시간 관리 우수","제출 기한과 준비 시간을 잘 지킴","긍정"
"학습 습관","숙제 미제출","과제를 제출하지 않거나 반복적으로 누락함","부정"
"학습 습관","준비물 미지참","학용품·교재·준비물을 자주 가져오지 않음","부정"
"학습 습관","학습 포기 경향","어려운 과제나 활동을 쉽게 포기하려 함","부정"
"학습 습관","과제 미완성 제출","과제를 끝까지 수행하지 못한 채 제출함","부정"

"사회성","친구 배려/도움","또래를 배려하고 필요한 도움을 제공함","긍정"
"사회성","협력·팀워크 우수","모둠 활동에서 협력적으로 참여함","긍정"
"사회성","리더십 발휘","모둠이나 학급에서 긍정적으로 이끄는 역할을 함","긍정"
"사회성","긍정적 교우관계","다양한 친구들과 원만한 관계를 형성함","긍정"
"사회성","친구와 갈등","또래와 말다툼·충돌·갈등이 반복됨","부정"
"사회성","또래 따돌림 가담","특정 학생을 배제·조롱·무시하는 행동이 관찰됨","부정"
"사회성","또래 따돌림 피해","소외·무시·배제 당하는 정황이 관찰됨","관찰"
"사회성","사회적 위축","또래 관계를 피하고 혼자 있으려는 경향이 있음","관찰"
"사회성","과도한 의존","친구나 교사에게 지나치게 의존하는 모습이 있음","관찰"

"정서","감정 조절 우수","불편한 상황에서도 감정을 안정적으로 조절함","긍정"
"정서","긍정적 태도","상황을 긍정적으로 받아들이고 의욕을 보임","긍정"
"정서","회복탄력성","실패나 좌절 이후 다시 시도하는 힘이 있음","긍정"
"정서","감정 기복 큼","기분 변화가 잦고 반응 폭이 큼","관찰"
"정서","과민반응·분노 폭발","작은 자극에도 예민하거나 화를 크게 냄","관찰"
"정서","불안·긴장 높음","발표·평가·대인관계에서 긴장과 불안이 큼","관찰"
"정서","무기력·우울 경향","의욕 저하, 표정 감소, 활력 저하가 관찰됨","관찰"
"정서","자존감 저하 표현","자기비하나 실패 예상 발언이 자주 나타남","관찰"
"정서","장난 심함","상황에 맞지 않거나 지나친 장난이 반복됨","부정"

"생활규범","예의 바름","교사·어른·친구에게 바른 언행을 보임","긍정"
"생활규범","규칙 준수","학교와 학급의 규칙을 잘 지킴","긍정"
"생활규범","봉사·공동체 기여","학급과 학교를 위해 자발적으로 기여함","긍정"
"생활규범","지각","등교 또는 수업 시작 시간을 자주 지키지 못함","부정"
"생활규범","무단 이탈","허락 없이 자리·교실·학교를 이탈함","부정"
"생활규범","비속어/욕설","비속어·욕설·비하 표현을 사용함","부정"
"생활규범","거짓말·변명 반복","사실을 숨기거나 책임을 회피하는 표현이 잦음","부정"
"생활규범","타인 물건 무단 사용","허락 없이 다른 사람의 물건을 사용함","부정"
"생활규범","외모·신체 비하 발언","외모·신체 특징을 놀리거나 비하함","부정"

"건강","신체 건강 이상 호소","두통·복통·어지러움 등 신체 불편을 자주 호소함","관찰"
"건강","식이 문제 관찰","급식 거부·과식·편식 등이 반복적으로 관찰됨","관찰"
"건강","위험 행동","안전에 위협이 되는 장난이나 행동이 나타남","부정"
"건강","자해·자살 위험 신호","자해 흔적·관련 발언·위기 신호가 관찰됨","부정"
"건강","온라인·게임 중독 의심","수면 부족·집착적 사용·생활 불균형이 보임","관찰"
